comprador_id,monto,timestamp
Comprador_Alfa,114,2026-05-21 04:06:59.358000Z
Comprador_Beta,125,2026-05-21 04:06:59.366000Z
Comprador_Gamma,138,2026-05-21 04:06:59.366000Z
Comprador_Alfa,182,2026-05-21 04:06:59.625000Z
Comprador_Beta,229,2026-05-21 04:06:59.685000Z
Comprador_Beta,275,2026-05-21 04:06:59.944000Z
Comprador_Gamma,288,2026-05-21 04:06:59.961000Z
Comprador_Alfa,336,2026-05-21 04:07:00.209000Z
Comprador_Gamma,377,2026-05-21 04:07:00.441000Z
Comprador_Beta,408,2026-05-21 04:07:00.485000Z
Comprador_Alfa,455,2026-05-21 04:07:00.513000Z
Comprador_Gamma,487,2026-05-21 04:07:00.697000Z
